idiom_en,meaning_en,literal_en,sentence_en
clammy,sticky or gluey,,
Bright spark,Quick or efficient in performing tasks; clever and alert,,
lickety-split,very quickly; extremely fast,,
petty arguments,quarrel; dispute; bickering,,
Blowing a fuse,Extremely angry; in a state of great fury,,
light the fuse,the beginning of a quarrel or dispute,,
throw the first punch,the beginning of a quarrel or dispute,,
Take it on the chin,A back that can endure everything,,
Have a thick skin,A back that can endure everything,,
Non-stop racket,Uninterrupted loud sound of musical instruments,,
Blaring horns,Uninterrupted loud sound of musical instruments,,
Blowing one's own trumpet,Creating a commotion to publicize or promote something,,
Making a big noise about something,Creating a commotion to publicize or promote something,,
slap fight,Synonymous compound word; repeated slaps; hand slaps indicating a physical scuffle or fight,,
trading blows,Synonymous compound word; repeated slaps; hand slaps indicating a physical scuffle or fight,,
come to fisticuffs,Synonymous compound word; repeated slaps; hand slaps indicating a physical scuffle or fight,,
chatter rapidly,"An onomatopoeic expression for the sound of rapid, popping speech like puffed rice bursting in a pan",,
babble on,"An onomatopoeic expression for the sound of rapid, popping speech like puffed rice bursting in a pan",,
Rise from disgrace to grace,"First insult, then honor",,
Dull as a butter knife,Lack of sharp intellect or dull-mindedness,,
Sick and tired of the same old thing,To lose appetite for food due to lack of variety,,
Fed up with monotonous meals,To lose appetite for food due to lack of variety,,
At a loss for words,"Becoming confused, perplexed, or at a loss while thinking",,
Baffled beyond belief,"Becoming confused, perplexed, or at a loss while thinking",,
Mind-boggled,"Becoming confused, perplexed, or at a loss while thinking",,
the bloom is off the rose,to become insipid or dull; to become dry or lifeless,,
to lose one's luster,to become insipid or dull; to become dry or lifeless,,
ebbs and flows,ups and downs,,
fragile as a bird's life,A person with a frail or short life,,
living on borrowed time,A person with a frail or short life,,
hitting a wall,Falling into worldly troubles or becoming immobilized in adverse situations; facing obstacles in the journey of family life,,
getting stuck in a rut,Falling into worldly troubles or becoming immobilized in adverse situations; facing obstacles in the journey of family life,,
coming to a standstill,Falling into worldly troubles or becoming immobilized in adverse situations; facing obstacles in the journey of family life,,
picnic,"A communal meal held in seclusion by the riverbank, at the village edge, or in green forest land",,
al fresco dining,"A communal meal held in seclusion by the riverbank, at the village edge, or in green forest land",,
outdoor feast,"A communal meal held in seclusion by the riverbank, at the village edge, or in green forest land",,
Feigned piety for personal gain,The desire to become an ascetic out of greed for the thrill of spinning on the Charak swing,,
belly laugh,boisterous laughter; loud laughter; flashy or showy laugh,,
roaring laughter,boisterous laughter; loud laughter; flashy or showy laugh,,
hearty guffaw,boisterous laughter; loud laughter; flashy or showy laugh,,
paste on a smile,Artificial or wooden smile; a smile shown to others while suppressing inner pain,,
bully,A person of fierce nature; rogue; heretic,,
fanatic,A person of fierce nature; rogue; heretic,,
a pair of ruffians,Two fierce or ferocious persons,,
two hellraisers,Two fierce or ferocious persons,,
Desperate measures,A way out when there is no other alternative,,
henchmen of evil,The followers or associates of evil deeds,,
minions of wrongdoing,The followers or associates of evil deeds,,
Fierce countenance,Fierce or wrathful form,,
Wrathful appearance,Fierce or wrathful form,,
brute,A person of cruel or ruthless nature,,
fiend,A person of cruel or ruthless nature,,
monster,A person of cruel or ruthless nature,,
From soup to nuts,All kinds of work or tasks,,
Dog eat dog,Rivalry or competition between equals,,
fourfold,many times over or fourfold increase,,
multiplied by four,many times over or fourfold increase,,
many times greater,many times over or fourfold increase,,
in the flower of youth,in the prime of youth,,
in one's prime,in the prime of youth,,
Raining cats and dogs,Flooding caused by heavy rainfall,,
Deluge,Flooding caused by heavy rainfall,,
all around,all sides or everywhere,,
on every side,all sides or everywhere,,
360 degrees,all sides or everywhere,,
every aspect,"all matters, all subjects, and everything",,
the whole nine yards,"all matters, all subjects, and everything",,
man of many talents,clever and versatile; all-rounder; endowed with all qualities,,
versatile genius,clever and versatile; all-rounder; endowed with all qualities,,
walking on air (sarcastically),sarcastically overwhelmed with joy; gratified; melted with delight,,
Superwoman,"Extremely hardworking and efficient, especially in managing multiple tasks simultaneously",,
beast of burden (in behavior),Foolish or idiot; behaving like an animal or a specific insult regarding lack of intelligence,,
dumb beast,"Monkey-like creatures; animals whose hands and feet resemble human hands; used as a special insult similar to calling someone a donkey, cow, or goat",,
you ape,"Monkey-like creatures; animals whose hands and feet resemble human hands; used as a special insult similar to calling someone a donkey, cow, or goat",,
full of beans,fresh and lively; vibrant manner,,
bright-eyed and bushy-tailed,fresh and lively; vibrant manner,,
with gusto,full of enthusiasm,,
Voice from above,A disembodied utterance; divine proclamation,,
Heavenly decree,A disembodied utterance; divine proclamation,,
to kick the bucket,to die,,
to pass away,to die,,
shoot for the moon,Achieving the ultimate or highest goal,,
lunatic,insane; frenzied; mad,,
dripping wet,A reduplicative onomatopoeic word indicating dampness or moisture,,
soggy,A reduplicative onomatopoeic word indicating dampness or moisture,,
Fleeting as a lightning bolt,A momentary flash of lightning,,
around the clock,continuously; without stopping; all the time; round the clock,,
24/7,continuously; without stopping; all the time; round the clock,,
To be taken aback,To be stunned or taken aback for a moment,,
To get a jolt,To be stunned or taken aback for a moment,,
To be startled,To be stunned or taken aback for a moment,,
Break the spell,Suddenly snapping out of absent-mindedness; suddenly becoming aware,,
to beat it,to flee or run away hastily,,
to take a powder,to flee or run away hastily,,
to skedaddle,to flee or run away hastily,,
Stick to your own knitting,To mind one's own business without interfering in others' affairs,,
Send on a wild goose chase,To harass someone by making them run around pointlessly,,
on foot,walking on foot,,
shank's mare,walking on foot,,
doormat (someone overly subservient),"sarcastically, a female servant or handmaid",,
handmaiden (in a mocking sense),"sarcastically, a female servant or handmaid",,
a pair of shoes,Arrangement for walking on foot or footwear,,
Give someone a foot rub,To massage the feet,,
fine as a spider's web,"The fine threads that float in the air from the bursting fruit of the kapok tree, resembling a delicate spider's web",,
delicate as gossamer,"The fine threads that float in the air from the bursting fruit of the kapok tree, resembling a delicate spider's web",,
Worship the ground someone walks on,Devotional service or worshipful care,,
At one's feet,Devotional service or worshipful care,,
kissing up,"sarcastically, to flatter or appease obsequiously",,
gad about,"sarcastically, roaming around aimlessly or idly",,
lounge around,"sarcastically, roaming around aimlessly or idly",,
wander idly,"sarcastically, roaming around aimlessly or idly",,
Everything under the sun,"Everything in creation, both movable and immovable things; the entire universe",,
All and sundry,"Everything in creation, both movable and immovable things; the entire universe",,
The whole world,The world or universe; the entire creation or cosmos,,
All creation,The world or universe; the entire creation or cosmos,,
The universe,The world or universe; the entire creation or cosmos,,
Herding cats (for difficult management),Teaching or tutoring in a sarcastic or belittling manner,,
Babysitting (derogatory for simple supervision),Teaching or tutoring in a sarcastic or belittling manner,,
to hem and haw,"To speak slowly and deliberately, as if chewing each word",,
to mince words,"To speak slowly and deliberately, as if chewing each word",,
Chewing the cud,Repeated boring discussion of the same topic; rehashing of previously discussed matters; repetition,,
Going over old ground,Repeated boring discussion of the same topic; rehashing of previously discussed matters; repetition,,
Aping someone,Imitation of others' works due to lack of talent and originality,,
Chewing the cud (in a derivative sense),Imitation of others' works due to lack of talent and originality,,
Regurgitating ideas,Imitation of others' works due to lack of talent and originality,,
sumptuous feast,Excellent and delicious food items,,
gourmet delicacies,Excellent and delicious food items,,
pouring rain,heavy or torrential rainfall,,
a feast fit for a king,"Worthy of being consumed by chewing, sucking, licking, and drinking; various kinds of luxurious food and beverages",,
carnal eyes,gross or physical vision; natural sight limited to the material world,,
eyes of flesh,gross or physical vision; natural sight limited to the material world,,
On the go,Wandering here and there; movement; activity; pacing,,
Up and about,Wandering here and there; movement; activity; pacing,,
good enough,passable or tolerable; barely adequate for getting by; mediocre or so-so,,
makes do,passable or tolerable; barely adequate for getting by; mediocre or so-so,,
fickle as a butterfly,"restless bee (a person who is constantly moving or unable to focus, flitting from one thing to another)",,
restless as a bee,"restless bee (a person who is constantly moving or unable to focus, flitting from one thing to another)",,
flibbertigibbet,A woman with a restless mind and anxious heart,,
bundle of nerves,A woman with a restless mind and anxious heart,,
deportment,"behavior, conduct and speech; nature and character",,
traffic,travel or commute,,
on the move,travel or commute,,
poor circulation,"circulation or operation (e.g., of blood or traffic)",,
at a standstill,"circulation or operation (e.g., of blood or traffic)",,
"lock, stock, and barrel (for everything)",Movable and immovable; everything that moves and does not move; chattel and real property,,
The sky is falling,To become distraught and directionless with worry due to sudden misfortune,,
The world is ending,To become distraught and directionless with worry due to sudden misfortune,,
manner of conduct,behavior; conduct; mannerisms; way of carrying oneself,,
coming and going,coming and going; to and fro movement,,
toing and froing,wandering or traveling from place to place,,
roaming about,wandering or traveling from place to place,,
getting around,wandering or traveling from place to place,,
travel buddy,travel companion or fellow traveler,,
to take one's leave,to leave or depart from a place,,
to walk away,to leave or depart from a place,,
Get a move on,To proceed; to advance quickly; to hurry along on foot,,
Hurry up,To proceed; to advance quickly; to hurry along on foot,,
On your way,To proceed; to advance quickly; to hurry along on foot,,
restless,restless,,
fidgety,restless,,
can't sit still,restless,,
Over the hill,Weakening of eyesight due to reaching the age of forty (presbyopia),,
The eyes are the first to go,Weakening of eyesight due to reaching the age of forty (presbyopia),,
Better lucky than good,"If fortune is favorable, tasks succeed through various means; otherwise, there is chaos and disorder",,
Sleeping under the stars,Sleeping in an open place,,
Sleeping rough,Sleeping in an open place,,
shameless,without shame in the eyes; no skin on the eyes; shameless; completely brazen,,
turn upside down,to search thoroughly or ransack,,
To roam about,To wander around various places,,
To wander far and wide,To wander around various places,,
head honcho,Leader; foreman; chief person; influential person,,
top dog,Leader; foreman; chief person; influential person,,
stripped bare,Something from which the outer covering or skin has been removed,,
peeled back,Something from which the outer covering or skin has been removed,,
clean-shaven,smooth; polished; well-groomed,,
blunt as a hammer,"blunt and choppy, lacking sweetness or flavor, rudely straightforward",,
baby-faced,Beardless; cleanly shaved,,
a slap on the wrist,A slap given in contempt or jest; a light smack,,
a playful pat,A slap given in contempt or jest; a light smack,,
The sky's the limit,There are no limits; everything is possible,,
Hitting the wrong note,To produce irregular or haphazard beats on the tabla,,
Playing out of tune,To produce irregular or haphazard beats on the tabla,,
savage,A person of cruel nature; a term of severe abuse,,
scoundrel,A person of cruel nature; a term of severe abuse,,
apple of my eye,cherished or beloved object/person,,
my precious,cherished or beloved object/person,,
moon-faced (used ironically),sarcastically referring to an ugly person,,
pretty as a picture (sarcastically),sarcastically referring to an ugly person,,
honey,A playful or affectionate term of address for a friend,,
sweetie,A playful or affectionate term of address for a friend,,
dear,A playful or affectionate term of address for a friend,,
Crescent moon on the brow (symbolizing beauty),Forehead shaped like a half-moon; marked with a half-moon-like sign on the forehead,,
Lucky star,A fortunate man and a fortunate woman,,
moon-faced,A man or woman distinguished by a face like the moon,,
fair as the moon,A man or woman distinguished by a face like the moon,,
bullseye,A moon-shaped target set up for practicing archery or shooting bullets; aiming point,,
target practice,A moon-shaped target set up for practicing archery or shooting bullets; aiming point,,
Whipping boy,Target of ridicule and attack,,
Fair game,Target of ridicule and attack,,
have the moon on a stick,"Fulfillment of a vain or unrealistic hope, obtaining a rare or unattainable thing without effort, or receiving the assurance of obtaining it",,
give someone the moon,To give or receive something rare or highly cherished,,
hand over on a silver platter,To give or receive something rare or highly cherished,,
beating down sun,"Intense, scorching sunlight so harsh it feels like it splits the top of one's head",,
Throw money at something,To spend money lavishly or generously,,
Money to burn,To spend money lavishly or generously,,
a blemish on one's character,A slight flaw in something that is otherwise perfectly beautiful,,
little treasure,an extremely cherished or beloved child,,
like a candle in the sun,Extremely insignificant; not at all comparable,,
Reaching for the moon,Expecting something beyond one's capacity,,
Aiming for the stars,Expecting something beyond one's capacity,,
Over the moon,Abundance of joy,,
In seventh heaven,Abundance of joy,,
Meeting of minds,Gathering of talented or learned people,,
Assembly of the greats,Gathering of talented or learned people,,
On cloud nine,To be lost in joy; to live in a world of imagination,,
Flying high,To be lost in joy; to live in a world of imagination,,
a bevy of beauties,Scattering of beauty; gathering of beautiful women,,
gathering of the fair,Scattering of beauty; gathering of beautiful women,,
family reunion,"A joyful household or gathering of loved ones, especially an assembly of children",,
house full of kids,"A joyful household or gathering of loved ones, especially an assembly of children",,
canopy,covering; canopy; shamiana,,
awning,covering; canopy; shamiana,,
marquee,covering; canopy; shamiana,,
Who knows?,"perhaps or who knows, maybe",,
You never know,"perhaps or who knows, maybe",,
Perhaps,"perhaps or who knows, maybe",,
Round and round,Circular or round (referring to shapes or marks),,
Spotted with circles,Circular or round (referring to shapes or marks),,
cut into rounds,Thin round pieces,,
slice into thin circles,Thin round pieces,,
Polished and prim,Shiny; smooth; sleek; neat and well-groomed in appearance,,
the genuine article,"Fresh, pure, and unadulterated honey",,
straight from the source,"Fresh, pure, and unadulterated honey",,
rat race,Jobs and employment; work or means of livelihood,,
Fleeting as a shadow,Something that exists one moment and vanishes the next; extremely unreliable support,,
Praise to the skies,To excessively praise someone beyond what they deserve,,
to get fired up,To become excited or agitated; to intensify strongly,,
to spur into action,To become excited or agitated; to intensify strongly,,
Save your own skin,"First protect yourself, worry about others later",,
finger-licking good,mouth-watering food item,,
yummy treat,mouth-watering food item,,
Spicy talk,"Sarcastically, an enticing or mouth-watering discussion",,
Daydreaming of riches,To have excessive or unrealistic hopes,,
"You scratch my back, I'll scratch yours",Mocking intimacy; excessive mutual praise or flattery,,
Mutual admiration society,Mocking intimacy; excessive mutual praise or flattery,,
Like a slap in the face,"Similar to a slap; abrupt, stinging, or flat rejection",,
Out of nowhere,"Similar to a slap; abrupt, stinging, or flat rejection",,
pull up stakes,To uproot from one's homestead; to leave one's homestead,,
pack up and leave,To uproot from one's homestead; to leave one's homestead,,
Apple polishing,Speaking inappropriate sweet words to please others; Excessive praise of others for one's own benefit; Flattery; Sycophancy,,
Butter up,Speaking inappropriate sweet words to please others; Excessive praise of others for one's own benefit; Flattery; Sycophancy,,
just a smidgen,a small amount,,
Running to one's parents in trouble,"Calling out 'father, father' when in crisis or distress",,
Crying for mommy/daddy when things get tough,"Calling out 'father, father' when in crisis or distress",,
Nag someone,To excessively pressure or pester someone,,
Pester relentlessly,To excessively pressure or pester someone,,
Give someone the third degree,To excessively pressure or pester someone,,
rub shoulders,A synonym denoting a dense or crowded arrangement,,
to weigh down,to apply weight or pressure to flatten or suppress,,
to press down,to apply weight or pressure to flatten or suppress,,
cover up,To hide the truth; to avoid discussion,,
sweep under the rug,To hide the truth; to avoid discussion,,
hush up,To hide the truth; to avoid discussion,,
Q&A,question and answer; question and counter-question; banter in songs,,
Building castles in the air,"Unrealistic, imaginary, or futile imagination or thought",,
To sweep under the rug,To not come into discussion or to be hushed up,,
To hush up,To not come into discussion or to be hushed up,,
Run over by a vehicle,To fall under something; to be crushed under a vehicle's wheels,,
Crushed underfoot,To fall under something; to be crushed under a vehicle's wheels,,
To lie low,To go out of sight or hide from view,,
To go into hiding,To go out of sight or hide from view,,
To disappear from view,To go out of sight or hide from view,,
to fade into obscurity,to be forgotten,,
to be consigned to oblivion,to be forgotten,,
bluffing,Deception through false statements,,
false pretenses,Deception through false statements,,
The key to the problem,The key or way to solve a problem,,
Solution at hand,The key or way to solve a problem,,
Key to success,Power of control or key to success,,
Master key,Power of control or key to success,,
the bite of a flea,insult or mistreatment from an insignificant person,,
a gnat's sting,insult or mistreatment from an insignificant person,,
tightwad,An extremely miserly or stingy person,,
Asking for the moon,Something impossible or rare; a much-desired object,,
The moon on a stick,Something impossible or rare; a much-desired object,,
virago,A woman with a fierce temperament,,
she-devil,A woman with a fierce temperament,,
tempest in a teapot,Making a big fuss over a trivial matter; intense argument or controversy,,
Eyes in the back of one's head,Vigilant watch in all directions,,
Keep one's eyes peeled,Vigilant watch in all directions,,
The bride and groom's first look,Auspicious glance during marriage,,
Love at first sight in wedding context,Auspicious glance during marriage,,
wheels (slang for car),A four-wheeled vehicle (car),,
Four-eyes,A young boy wearing glasses,,
the man in the street,a few people; the general public,,
Joe Public,a few people; the general public,,
quadruple,four times; much more than expected or calculated,,
many times over,four times; much more than expected or calculated,,
To move mountains,To make the impossible possible,,
To lasso the moon,To make the impossible possible,,
on all sides,all around; every direction,,
four-poster bed (simplified rustic version),A cot made of rope; a bed made of netting,,
Like a beast,Foolish; stupid; person with animal-like nature (an insult),,
Animal instincts,Foolish; stupid; person with animal-like nature (an insult),,
Everywhere,"This way and that; all around, sides",,
con artist,swindler; cheat; trickster; deceiver,,
crook,swindler; cheat; trickster; deceiver,,
round the clock,"The four times of the day: dawn, noon, evening, and midnight",,
the four quarters of the day,"The four times of the day: dawn, noon, evening, and midnight",,
better half,husband and wife; man and woman,,
the two of us,husband and wife; man and woman,,
give away the bride,to marry off (someone),,
no alternative,means; remedy; preventive measure,,
new kid on the block,newly born; newly emerged,,
to win the lottery,Obtaining something beyond expectation or extremely rare,,
to strike it rich,Obtaining something beyond expectation or extremely rare,,
face charges,accusation,,
bring charges against,accusation,,
in your charge,responsibility or duty,,
under your care,responsibility or duty,,
service charge,toll or fee,,
entry fee,toll or fee,,
"Eat, drink, and be merry (for tomorrow we die)",Atheism or Lokayata philosophy,,
Materialistic worldview,Atheism or Lokayata philosophy,,
tighten one's belt,Reducing extravagance in lifestyle; cutting down on household expenses,,
cut back on spending,Reducing extravagance in lifestyle; cutting down on household expenses,,
way of life,"conduct, behavior, customs and practices",,
To make a move,To employ tactics or strategy; to devise a trick or ploy,,
To play one's cards,To employ tactics or strategy; to devise a trick or ploy,,
hit the road,To set off for a distant place with all necessary provisions packed,,
pack up and go,To set off for a distant place with all necessary provisions packed,,
embark on a journey,To set off for a distant place with all necessary provisions packed,,
lay of the land,outline of the current situation,,
Watching paint dry,Wasting time idly or lazily without any productive activity,,
Without a pot to piss in,One without means for food and shelter; destitute; without possessions; helpless; homeless,,
penniless and homeless,An unemployed and jobless person without a fixed address or profession,,
Bluffer,A deceiver or trickster; someone who boasts exaggeratedly; a false braggart; one who shows off insincerely,,
Hit rock bottom,To decline or fall into ruin,,
checkmate,successful accomplishment of a task or plan,,
seal the deal,successful accomplishment of a task or plan,,
deliver the final blow,successful accomplishment of a task or plan,,
bluff,To show false pomp; to boast falsely; to deceive; to trick or cheat,,
all of a flutter,To become extremely restless; to feel anxious; to get flustered or overly busy,,
Over the hill (for middle age decline),Age-related vision impairment starting around forty years,,
The eyes are the first to go (informal saying about aging),Age-related vision impairment starting around forty years,,
correspondence,synonymous words; mutual exchange; give and take,,
clever clogs,in reproach: an excessively clever or cunning boy,,
hot commodity,Goods that are in demand or selling well in the market,,
fast-moving consumer goods,Goods that are in demand or selling well in the market,,
slick character,"Sarcastically, a cunning or sly person; a skilled individual who wins over people's hearts to achieve their own goals - impudent or vulgar",,
farming life,Earning a livelihood through agricultural work,,
tilling the soil for a living,Earning a livelihood through agricultural work,,
whimper,"To express pain or distress in a weak, faint voice due to feebleness",,
whine feebly,"To express pain or distress in a weak, faint voice due to feebleness",,
squeak in pain,"To express pain or distress in a weak, faint voice due to feebleness",,
scared out of one's wits,Sudden loss of wits due to fear; being dumbfounded or stunned,,
frozen in fear,Sudden loss of wits due to fear; being dumbfounded or stunned,,
brain freeze from fright,Sudden loss of wits due to fear; being dumbfounded or stunned,,
Oil and water don't mix,These two are not used together; there is no harmony between them; eternal enmity,,
squeezed to the breaking point,A state of distress due to excessive crowd pressure; completely devastated or crushed,,
crushed like a bug,half-dead; completely crushed or oppressed; utterly destroyed; completely lifeless,,
dead as a doornail,half-dead; completely crushed or oppressed; utterly destroyed; completely lifeless,,
fudging the numbers,Repeatedly manipulating a balance scale to falsely increase the weight,,
The Dark Lord (referring to Krishna's complexion),Dark and beautiful; Lord Krishna,,
Looks can be deceiving,Beautiful smooth structure or sleek appearance,,
lock of hair,"lock of hair, bunch of curls",,
tresses,"lock of hair, bunch of curls",,
bolt of lightning,flash of lightning,,
Rock of ages,Savior of the fallen; God who rescues the downtrodden; Remover of calamities,,
Refuge in times of trouble,Savior of the fallen; God who rescues the downtrodden; Remover of calamities,,
Hasn't got his wisdom teeth yet,Lack of wisdom or judgment; displaying immature intellect,,
lay bare,Secret matters revealed or exposed,,
crafty character,"sarcastically, a tricky or cunning person",,
Cracks in the foundation,Developing a crack; on the verge of breaking apart,,
On the rocks,Developing a crack; on the verge of breaking apart,,
Starting to fall apart,Developing a crack; on the verge of breaking apart,,
feel itchy,"Onomatopoeic expression indicating unbearable irritation, pain, and the sensation of itching",,
have ants in one's pants,"Onomatopoeic expression indicating unbearable irritation, pain, and the sensation of itching",,
crawl under one's skin,"Onomatopoeic expression indicating unbearable irritation, pain, and the sensation of itching",,
The plot thickens,A simple matter gradually becoming complicated,,
From bad to worse,A simple matter gradually becoming complicated,,
Crafty devil,A cunning or sly rogue,,
it's a zoo,assembly of people of various kinds,,
motley crew,assembly of people of various kinds,,
sharp-witted,Sensible; judicious; possessing clear intelligence,,
level-headed,Sensible; judicious; possessing clear intelligence,,
flat on one's back,completely defeated,,
down for the count,completely defeated,,
fall flat on one's back,"Falling completely flat on one's back, tumbling face upwards",,
hit the deck face up,"Falling completely flat on one's back, tumbling face upwards",,
Heart stealer,Lover; one who has stolen the heart,,
Thief of hearts,Lover; one who has stolen the heart,,
a wound that never heals,perpetual heart-wrenching pain,,
eternal grief,perpetual heart-wrenching pain,,
a sight for sore eyes (ironically negative),An ugly woman whose sight causes mental disturbance or revulsion,,
What a mess,Strange affair; surprising event; utter chaos; complete disaster,,
That's the limit,Strange affair; surprising event; utter chaos; complete disaster,,
Absolute nonsense,Strange affair; surprising event; utter chaos; complete disaster,,
Big Brother is watching,One whose record of deeds is meticulous and unsparing,,
The watchful eye of the law,One whose record of deeds is meticulous and unsparing,,
The Book of Life,A ledger recording human deeds and actions; an infallible account of people's sins and virtues; everything is under Yama's scrutiny,,
Karma's record,A ledger recording human deeds and actions; an infallible account of people's sins and virtues; everything is under Yama's scrutiny,,
doe-eyed beauty,A woman distinguished by beautiful eyes,,
eyes like a painting,A woman distinguished by beautiful eyes,,
A fool and his money are soon parted,A foolish blunder or punishment for lack of wisdom,,
Throw good money after bad,A foolish blunder or punishment for lack of wisdom,,
variegated,Adorned with multicolored designs or patterns,,
motley assortment,Adorned with multicolored designs or patterns,,
kaleidoscopic,Adorned with multicolored designs or patterns,,
Graceful beauty,The second type among the four classifications of women; medium-built women who always have a gentle smile on their faces and do not display restlessness in their gait,,
Poised elegance,The second type among the four classifications of women; medium-built women who always have a gentle smile on their faces and do not display restlessness in their gait,,
a twinge of pain,A reduplicated word indicating a slight sensation of pain or tingling,,
stomach pangs,A reduplicated word indicating a slight sensation of pain or tingling,,
getting acquainted,mutual acquaintance,,
Melts like butter,"Something that melts away as soon as it gets wet, implying extreme fragility or vulnerability",,
Delicate as a flower,Becomes weary or lazy with minimal effort,,
Wilts under pressure,Becomes weary or lazy with minimal effort,,
The goose that lays the golden eggs (but is killed),One who earns a living but cannot enjoy it,,
Missing the point,One who reads a book but fails to grasp its deeper essence or meaning,,
Cannot see the forest for the trees,One who reads a book but fails to grasp its deeper essence or meaning,,
clings like a leech,a tenacious or unrelenting person,,
like a burr under the saddle,a tenacious or unrelenting person,,
Wisdom comes too late,To learn a lesson after facing trouble; to be punished,,
After much consideration,Deep thought or deliberation,,
Give it some thought,Deep thought or deliberation,,
Ponder over,Deep thought or deliberation,,
wish-fulfilling jewel,"Supreme object of worship; God; Specifically, Narayan",,
divine treasure,"Supreme object of worship; God; Specifically, Narayan",,
barbed remark,"Occasional low-voiced remarks that sting like a pinch, causing annoyance",,
dig,"Occasional low-voiced remarks that sting like a pinch, causing annoyance",,
backhanded comment,"Occasional low-voiced remarks that sting like a pinch, causing annoyance",,
to make a snide remark,to mock; to make a sarcastic remark,,
verbal jabs,"To speak in a way that indirectly conveys anger, making the listener feel intensely hurt or uncomfortable as if their entire body is burning",,
passive-aggressive sarcasm,"To speak in a way that indirectly conveys anger, making the listener feel intensely hurt or uncomfortable as if their entire body is burning",,
Mumble,To speak indistinctly or mumble unclearly,,
Mutter under one's breath,To speak indistinctly or mumble unclearly,,
give someone a pinch,To pinch lightly or give a nip,,
nip at someone,To pinch lightly or give a nip,,
Built like a whip,Extremely thin and emaciated but tough and wiry,,
tough as leather,hard like dry skin,,
hard as nails,hard like dry skin,,
Feathering one's nest,Securing one's future; achieving personal interests,,
Planning ahead,Securing one's future; achieving personal interests,,
chit,small piece of paper,,
scrap of paper,small piece of paper,,
Permanent Settlement,Establishment of permanent land rights,,
time-honored,Something that has been continuing from very ancient times,,
age-old,Something that has been continuing from very ancient times,,
from time immemorial,Something that has been continuing from very ancient times,,
Live long and prosper,A blessing to remain a chaste and faithful wife for life,,
Till death do us part,A blessing to remain a chaste and faithful wife for life,,
search with a fine-tooth comb,A thorough search of every house in the area for a criminal or objectionable item,,
Inviting the wolf to the door,Inviting trouble into one's home,,
Letting the fox into the henhouse,Inviting trouble into one's home,,
Swoop and grab,Sudden looting or snatching,,
Like a thief in the night,Sudden looting or snatching,,
sure thing,The grip of a kite's claw that never slips,,
dead aim,The grip of a kite's claw that never slips,,
never miss a beat,The grip of a kite's claw that never slips,,
Think before you act,To proceed by considering the outcome; to act thoughtfully about the future,,
the real deal,Used in praise for something of great value or a worthy/valuable item,,
something special,Used in praise for something of great value or a worthy/valuable item,,
top-notch,Used in praise for something of great value or a worthy/valuable item,,
a piece of work,"Sarcastically, a bad or cunning person",,
a bad egg,"Sarcastically, a bad or cunning person",,
dog with a bone,A stubborn or tenacious person who won't let go until they achieve their desired goal,,
won't let go,A stubborn or tenacious person who won't let go until they achieve their desired goal,,
stomach rumbling,"A reduplicated word indicating mild sensations such as burning from fire, hunger, thirst, etc.",,
tummy grumbling,"A reduplicated word indicating mild sensations such as burning from fire, hunger, thirst, etc.",,
not a peep,"a faint or soft sound, implying complete silence",,
you could hear a pin drop,"a faint or soft sound, implying complete silence",,
dead silence,"a faint or soft sound, implying complete silence",,
slurp (for noisy sipping),Onomatopoeic reduplicated word; the soft sound of slowly sipping tea with the tongue,,
sip sip (onomatopoeic for gentle drinking),Onomatopoeic reduplicated word; the soft sound of slowly sipping tea with the tongue,,
frame someone,To implicate or frame someone by using another's name,,
pass the buck,To implicate or frame someone by using another's name,,
throw someone under the bus,To implicate or frame someone by using another's name,,
Backbite,To criticize or speak ill of someone behind their back,,
Snap one's fingers to summon,To beckon or call someone by snapping the fingers,,
Beckon with a finger flick,To beckon or call someone by snapping the fingers,,
The last days,"End times, final age, Kali Yuga",,
short story,witty short story,,
anecdote,witty short story,,
tongue-in-cheek remark,mild sarcasm,,
subtle dig,mild sarcasm,,
Flash fiction,Humorous literature written in simple language with very few words,,
Epigrams,Humorous literature written in simple language with very few words,,
Aphorisms,Humorous literature written in simple language with very few words,,
black mark,stigma or disgrace,,
Double-dealing,To praise and criticize someone alternately or to be duplicitous in speech,,
Put a hex on someone,To curse or wish ill upon someone,,
Curse under one's breath,To curse or wish ill upon someone,,
Have egg on one's face,To be disgraced or stigmatized; to suffer humiliation or downfall,,
Be caught with one's pants down,To be disgraced or stigmatized; to suffer humiliation or downfall,,
Patience pays off,"There is benefit in waiting; eventually, profit comes",,
All's well that ends well,"There is benefit in waiting; eventually, profit comes",,
light-fingered woman,A woman who steals,,
female pickpocket,A woman who steals,,
slippery eel,naughty or runaway cow,,
troublesome helper,disobedient servant or maid,,
naughty subordinate,disobedient servant or maid,,
Hand in the cookie jar,A helpless cat caught in the act of stealing,,
deer in the headlights,A helpless offender resembling a squashed cat after being caught in the act,,
mum's the word,complete silence or quietly,,
in silence,complete silence or quietly,,
to clam up,To suddenly become completely silent,,
to go mum,To suddenly become completely silent,,
to fall silent,To suddenly become completely silent,,
His master's voice,A familiar signaling sound made by a driver that the ox recognizes,,
Flatter to get one's way,To deceive with sweet words; to accomplish tasks by flattery or back-patting,,
rambling incoherently,"Unnecessary, irrelevant, meaningless, incoherent or nonsensical talk, babble",,
Rub one's chin,To stroke one's beard (indicating contemplation or satisfaction),,
