"id","idiom_bn","meaning_bn","idiom_en","meaning_en","idiom_hi","meaning_hi","bridge_text","confidence","source_bn","verified"
"4714","তৈরী ছেলে","ব্যঙ্গে- অকালপক্ব, চৌখশ, ডেঁপো, ফাজিল, নষ্টচরিত্র ইত্যাদি","smart aleck', 'wise guy', 'spoiled brat","","शैतान का नाम लिया, शैतान हाजिर","Speak of the devil; the person you were just talking about suddenly appears.","Sarcastically referring to a precocious, sly, arrogant, mischievous, or morally corrupt young person","HIGH","bagdhara","False"
"4715","তৈরী ছেলের বাপ","ঘরজামাইয়ের বাপ","pushover', 'doormat","","दूध का जला छाछ भी फूंककर पीता है","Once bitten, twice shy; someone becomes overly cautious after a bad experience.","The father of a house son-in-law (referring to someone overly submissive or eager to please, like a pushover in family dynamics)","HIGH","bagdhara","False"
"4716","তৈলবট","বিধান দেওয়ার জন্য ব্রাহ্মণ পণ্ডিতকে অর্থ দেওয়া, যাতে তারা যজমানের ইচ্ছানুসারে বিধান পরিবর্তন করে","Grease someone's palm"", 'Buy influence","","एक तीर से दो निशाने लगाना","To kill two birds with one stone; to solve two problems with a single action.","Bribing a Brahmin priest with money or offerings to alter a religious verdict according to the patron's wishes","HIGH","bagdhara","False"
"4717","তৈলদান","হীনভাবে তোষামোদ","Bootlicking', 'Apple polishing', 'Toadying","","","","Flattery in a servile or lowly manner","HIGH","bagdhara","False"
"4718","তৈলাধার পাত্র কি পাত্রাধার তৈল","চুলচেরা বিচার, যে সমস্যার কোন মীমাংসা নেই","Splitting hairs', 'Which came first, the chicken or the egg?","","छप्पर पर रखना","To publicise something; to make an issue widely known.","Nitpicking debate on an irresolvable issue","HIGH","bagdhara","False"
"4719","তোড়জোড়","উদ্যোগ; আয়োজন; প্রস্তুতি","hustle and bustle', ""get one's ducks in a row"", 'gear up","","","","Initiative; Arrangement; Preparation","HIGH","bagdhara","False"
"4720","তোতাপাখি","না বুঝে অনুকরণকারী","Parrot (repeating words without comprehension)', 'Copycat","","अक्ल का दुश्मन","A foolish person; someone who acts without thinking.","One who imitates without understanding","HIGH","bagdhara","False"
"4721","তোতাবুলি","অর্থ না বুঝে আওড়ানো মুখস্থ কথা","Parrot fashion', 'By rote","","अपनी खिचड़ी अलग पकाना","To work in isolation; to do things in your own way without regard for others.","Reciting memorized words without understanding their meaning","HIGH","bagdhara","False"
"4722","তোতাবৃত্তি","অনুকরণের স্বভাব, না বুঝে অনুকরণ করা","Parrot fashion', 'To ape blindly","","अपनी खिचड़ी अलग पकाना","To work in isolation; to do things in your own way without regard for others.","The habit of imitation without understanding","HIGH","bagdhara","False"
"4723","তোপ দাগা","আক্রমণ করা","open fire', 'go on the offensive","","टूट पड़ना","To attack fiercely; to suddenly rush upon someone.","to launch an attack","HIGH","bagdhara","False"
"4724","তোমার একদিন কি আমার একদিন","হেস্তনেস্ত করা","split hairs', 'nitpick', 'make a mountain out of a molehill","","आग में घी डालना","To add fuel to the fire; to make matters worse.","to make a fuss over trivial matters or to haggle pedantically","HIGH","bagdhara","False"
"4725","তোয়াক্কা","সমীহ","pay attention to', 'take notice of', 'give a damn","","अपनी खिचड़ी अलग पकाना","To work in isolation; to do things in your own way without regard for others.","regard or heed","HIGH","bagdhara","False"
"4726","তোয়াজ","অভ্যর্থনা, খাতির, মনোরঞ্জন","butter up', 'fawn over', 'toady to","","","","courtesy, respect, entertainment or flattery towards superiors","HIGH","bagdhara","False"
"4727","তোলপাড়","প্রবল আলোড়ন","Stir up a storm', 'Turn the world upside down","","छाती पीटना","To wail or lament loudly; to express intense grief.","Intense commotion or great upheaval","HIGH","bagdhara","False"
"4728","তোলা","যা স্মরণ রাখা হয়েছে","on record', 'noted down","","घर की मुर्गी दाल बराबर","To undervalue what one already has; a familiar thing is not appreciated.","What has been noted or remembered","HIGH","bagdhara","False"
"4729","তোলোহাঁড়ি","তলোহাঁড়ির মত গম্ভীর ও স্ফীত মুখভাব; গোমড়ামুখো, গম্ভীরপ্রকৃতির লোক","long face', 'sourpuss","","शैतान का नाम लिया, शैतान हाजिर","Speak of the devil; the person you were just talking about suddenly appears.","A grave and puffed-up facial expression like a large earthen pot; a sullen-faced or solemn-natured person","HIGH","bagdhara","False"
"4730","ত্যাঁদড়","নির্লজ্জ, বেহায়া","bold as brass', 'thick-skinned","","","","shameless, impudent","HIGH","bagdhara","False"
"4731","ত্যক্ত বিরক্ত","উত্ত্যক্ত, জ্বালাতন","Fed up', 'Sick and tired', 'Disgusted","","","","Thoroughly annoyed, irritated, or disgusted","HIGH","bagdhara","False"
"4732","ত্যাজ্যপুত্র","পুত্রের অধিকার ও পিতার সম্পত্তি থেকে বঞ্চিত ও বিতাড়িত পুত্র","disowned son', 'black sheep of the family","","चौड़े बेंकर सोना","To be free from all worries; to be completely carefree.","A son deprived of his rights and expelled from his father's property","HIGH","bagdhara","False"
"4733","ত্রাতা মধুদূদন","বিপদে সাহায্যকারী শ্রীকৃষ্ণ; বিপন্নকে উদ্ধারকারী ব্যক্তি","knight in shining armor', 'savior in distress","","कान का उल्लू होना","To be a foolish or naive person who is easily fooled.","Shri Krishna, the helper in times of danger; a person who rescues the distressed","HIGH","bagdhara","False"
"4734","ত্রাহি মধুসুদন","বিপদ থেকে পরিত্রাণ পাওয়ার জন্য ঈশ্বরের কাছে প্রার্থনা","God help me', 'Lord have mercy', 'Heaven save us","","चौड़े बेंकर सोना","To be free from all worries; to be completely carefree.","A prayer to God for deliverance from danger","HIGH","bagdhara","False"
"4735","ত্রাহি ত্রাহি ডাক ছাড়া","বিপদ থেকে উদ্ধার পাওয়ার জন্য পরিত্রাহি চিৎকার করা","Crying for help', 'Screaming bloody murder","","आसमान से गिरा खजूर में अटका","Out of one trouble and into another; from the frying pan into the fire.","Crying out desperately for rescue from danger","HIGH","bagdhara","False"
"4736","ত্রিকুল","পিতৃকুল, মাতৃকুল ও শ্বশুরকুল","No direct equivalent; akin to 'extended family on all sides","","","","paternal family, maternal family, and in-laws' family","HIGH","bagdhara","False"
"4737","ত্রিকোণ প্রেম","কামার্ত এক নারী ও দুই পুরুষের রসলীলা; কামার্ত দুই নারী ও এক পুরুষের রসলীলা","Love triangle","","एक तीर से दो निशाने लगाना","To kill two birds with one stone; to solve two problems with a single action.","A lustful romantic entanglement involving one woman and two men, or two women and one man","HIGH","bagdhara","False"
"4738","ত্রিপাপ","অতিপাতক, উপপাতক ও মহাপাতক- এই তিনপ্রকার পাপ","Seven deadly sins', 'Mortal sin","","","","The three types of sins: minor sin (atipātak), medium sin (upapātak), and major sin (mahāpātak)","HIGH","bagdhara","False"
"4739","ত্রিবলি","খুবই রোগা বা কৃশকায় ব্যক্তি","skin and bones', 'bag of bones","","शैतान का नाम लिया, शैतान हाजिर","Speak of the devil; the person you were just talking about suddenly appears.","a very thin or emaciated person","HIGH","bagdhara","False"
"4740","ত্রিবিদ্যা","ঋক্, সাম ও যজুঃ- এই প্রধান বেদত্রয়ী","The three Rs (reading, writing, arithmetic)","","","","The three principal Vedas: Rig, Sama, and Yajur","HIGH","bagdhara","False"
"4741","ত্রিবেণী","তিনটি স্রোত বা নদীর মিলনস্থল","confluence of rivers', 'triple junction","","आँखें चार होना","To exchange glances; to have a romantic meeting of eyes.","The confluence or meeting point of three streams or rivers","HIGH","bagdhara","False"
"4742","ত্রিভঙ্গমুরারি","শ্রীকৃষ্ণ; ব্যঙ্গে বাঁকা চেহারার অতিবৃদ্ধ লোক","witch with tangled hair","An extremely old woman with matted hair on her head; an imaginary demonic figure that instills fear in children","अंधों में काना राजा","A person with limited ability appears impressive among those with even less ability.","Lord Krishna; sarcastically - an extremely old person with a bent figure","MEDIUM","bagdhara","False"
"4743","ত্রিভুবন","স্বর্গ, মর্ত্য ও পাতাল","The three worlds (in mythology)', 'Heaven and earth","","","","Heaven, earth, and the underworld","HIGH","bagdhara","False"
"4744","ত্রিমূর্তি","ব্রহ্মা বিষ্ণু ও মহেশ্বর; ব্যঙ্গে তিন সাঙাৎ","Unholy trinity', 'Three musketeers (in a negative sense)","","","","The Hindu trinity of Brahma, Vishnu, and Shiva; sarcastically, three worthless or mischievous companions","HIGH","bagdhara","False"
"4745","ত্রিযামা","রাত্রি","the dead of night', 'witching hour","","","","night","HIGH","bagdhara","False"
"4746","ত্রিরাত্রি","মধ্যবর্তী দুইদিন সহ তিন রাত মিলে যে সময়; ৬০ ঘণ্টা","the witching hour","The last three muhurta (moments) of the day divided into fifteen parts; the last two and a half hours of the day","","To kill two birds with one stone; to solve two problems with a single action.","The period comprising three nights including the two intervening days; 60 hours","MEDIUM","bagdhara","False"
"4747","ত্রিলোক","স্বর্গ, মর্ত্য ও পাতাল","The whole world', 'Heaven and earth","","","","The three realms: heaven, earth, and the underworld","HIGH","bagdhara","False"
"4748","ত্রিশঙ্কু অবস্থা","অনিশ্চিত অবস্থায় পড়েছে এমন ব্যক্তি; এদিকেও না ওদিকেও না","In limbo', 'On the fence', 'Caught between two stools","","शैतान का नाम लिया, शैतान हाजिर","Speak of the devil; the person you were just talking about suddenly appears.","A person caught in an uncertain state; neither here nor there","HIGH","bagdhara","False"
"4749","ত্রিশূল","শিবের অস্ত্র; তিনমুখী কৌশল বা আক্রমণ","three-pronged approach', 'trident of Poseidon (mythological)","","टूट पड़ना","To attack fiercely; to suddenly rush upon someone.","Shiva's weapon; three-pronged strategy or attack","HIGH","bagdhara","False"
"4750","ত্রিসীমানা","সান্নিধ্য","close quarters', 'in the vicinity","","","","proximity or closeness","HIGH","bagdhara","False"
"4751","ত্রুটি বিচ্যুতি","নানাপ্রকার স্খলন বা ভুল","slip-ups', 'errors and omissions","","","","Various kinds of errors or slips","HIGH","bagdhara","False"
"4752","ত্রয়হস্পর্শ","একদিনে তিন তিথির যোগ; অশুভ যোগ","Under an unlucky star', 'Ill-omened timing","","","","Conjunction of three lunar days in one solar day; an inauspicious alignment","HIGH","bagdhara","False"
"4753","থমক","অবাক, কিংকর্তব্যবিমূঢ়, নির্বাক, বোকা, স্থির, হতবুদ্ধি, হতভম্ব ইত্যাদি","stop dead in one's tracks"", 'frozen in shock', 'dumbstruck","","","","amazed, perplexed, speechless, foolish, still, stunned, bewildered etc.","HIGH","bagdhara","False"
"4754","থ খেয়ে মেরে যাওয়া","বিস্ময়ে বা ভয়ে কিংকর্তব্যবিমূঢ়/বিস্মিত/স্তম্ভিত হওয়া","Frozen in fear', 'Struck dumb', 'Petrified with shock","","गुल खिलना","Something new and interesting to happen; a surprise development.","To be stunned, petrified, or immobilized in surprise or fear, becoming speechless and indecisive","HIGH","bagdhara","False"
"4755","থই পাওয়া","তলভূমি বা স্থল পাওয়া","Out of one's depth"", 'In deep water', ""Can't touch bottom","","बाल की खाल निकालना","To split hairs; to make unnecessarily fine distinctions or find trivial faults.","To find solid ground or stability","HIGH","bagdhara","False"
"4756","থইথই","পরিপূর্ণতা বা প্রাচুর্য সূচক দ্বিত্বশব্দ","full to the brim', 'overflowing with abundance","","","","Reduplicated word indicating fullness or abundance","HIGH","bagdhara","False"
"4757","থোকা দর","আন্দাজী হিসাব; কোন মাপজোখ না করে","Rough estimate', 'Guesstimate', 'Back-of-the-envelope calculation","","खाक छानना","To wander around aimlessly without any purpose or direction.","Approximate calculation; without any precise measurement","HIGH","bagdhara","False"
"4758","থকা","অবসন্ন/ক্লান্ত হওয়া; হাঁপিয়ে যাওয়া","worn out', 'beat', 'pooped out","","भीगी बिल्ली बनना","To become very meek and submissive out of fear.","To become exhausted or fatigued; to be out of breath","HIGH","bagdhara","False"
"4759","থতমত খাওয়া","কিংকর্তব্যবিমূঢ় হওয়া; কিছু বলতে গিয়ে ইতস্তত করা; কিছু দেখে বা শুনে অপ্রতিভ হওয়া; মুখে কথা না ফোটার অবস্থা; ঘাবড়ে গিয়ে কিছু স্থির করতে না পারা","tongue-tied', 'at a loss for words', 'flustered', 'lost for words","","कलेजा ठंडा होना","To feel deeply satisfied and at peace, especially after seeing justice done.","To become perplexed and indecisive; to hesitate or falter while speaking; to feel embarrassed or awkward upon seeing or hearing something; the state of being speechless; to panic and fail to make a decision","HIGH","bagdhara","False"
"4760","থপথপ","ভারী চেহারার ধীর পদক্ষেপের ভাবার্থে দ্বিত্বশব্দ","thud thud', 'tramp tramp","","बादल फटना","A sudden heavy downpour; unexpected calamity.","An onomatopoeic reduplicated word denoting the slow, heavy footsteps of a large-bodied creature","HIGH","bagdhara","False"
"4761","থপথপে","কোমল স্থূল শরীর","plump as a pillow', 'chubby and soft","","","","soft and plump body","HIGH","bagdhara","False"
"4762","থমথম","নিস্তব্ধতা/ভয়াবহতাসূচক দ্বিত্বশব্দ","deathly silence', 'you could hear a pin drop', 'eerie quiet","","मुँह तोड़ना","To silence someone rudely; to shut someone up.","A reduplicated word indicating tense stillness or an ominous, foreboding silence","HIGH","bagdhara","False"
"4763","থরথর","প্রবল কম্পনভাবার্থে দ্বিত্বশব্দ","shaking like a leaf', 'trembling all over","","छाती पीटना","To wail or lament loudly; to express intense grief.","A reduplicated word denoting intense trembling or vibration","HIGH","bagdhara","False"
"4764","থরহরি কাঁপা","প্রবলভীতির কারণে মানসিক বিপর্যয়; ভীতির আতিশয্যে কাঁপা","Shaking like a leaf', 'Trembling with fear","","छाती पीटना","To wail or lament loudly; to express intense grief.","Mental distress caused by intense fear; trembling excessively due to terror","HIGH","bagdhara","False"
"4765","থলথল","স্থূলতাহেতু শিথিল মাংসের স্পন্দনভাবসুচক দ্বিত্বশব্দ","jiggling fat', 'wobbly flesh","","आँख चुराना","To hide out of shame; to avoid eye contact due to embarrassment or guilt.","A reduplicated word indicating the jiggling or quivering of loose flesh due to obesity","HIGH","bagdhara","False"
"4766","থলির মধ্যে হাতি পোরা","অসম্ভব, যা হবার নয়, তেমন কাজ করতে যাওয়া","Fitting a square peg into a round hole', 'When pigs fly","","उल्टी गंगा बहाना","To do something impossible or against the natural order.","Attempting something impossible or unfeasible","HIGH","bagdhara","False"
"4767","থাউকো","আন্দাজে, থোক হিসাবে, মোটটামুটি দরে","ballpark figure', 'rough estimate', 'at face value","","","","Approximately, by rough estimate, at a lump sum or wholesale price","HIGH","bagdhara","False"
"4768","থাকা-খাওয়া","খোরপোশ, ভাত-কাপড়; বাসস্থান ও খাওয়াদাওয়া","room and board', 'bed and board","","","","board and lodging; shelter and sustenance","HIGH","bagdhara","False"
"4769","থাকাথাকি","অবস্থান, বিদ্যমানতা","being there', 'whereabouts","","","","location, presence or existence","HIGH","bagdhara","False"
"4770","থাকা-না-থাকা","বাঁচা-মরা","life or death', 'to live or die","","नाक में दम करना","To harass someone; to make life miserable.","life and death","HIGH","bagdhara","False"
"4771","থানা করা","কৃষকের ভাষায় বিশেষ বিশেষ বীজ বুনতে বিশেষ বিশেষ মাটি ও স্থান তৈরী করা","laying the groundwork', 'preparing the soil","","","","In farmers' parlance, preparing specific soil and plots for sowing particular seeds","HIGH","bagdhara","False"
"4772","থানা-পুলিশ করা","পুলিশি সাহায্য পেতে বারবার থানায় যাওয়া আসা করা","Calling in the cops', 'Running to the authorities","","काठ की हाँडी बार-बार नहीं चढ़ती","You cannot deceive someone repeatedly with the same trick.","Repeatedly visiting the police station to seek police assistance","HIGH","bagdhara","False"
"4773","থাবা মারা","ভাগ বসানো","Have a finger in the pie', ""Stick one's oar in","","आसमान सिर पर उठा लेना","To take on a very difficult task; to attempt the impossible.","To stake a claim or take a share greedily","HIGH","bagdhara","False"
"4774","থাবা দেওয়া","কেড়ে বা ছিনিয়ে নেওয়া; জবরদস্তি করে নেওয়া","To get one's claws into","","आसमान सिर पर उठा लेना","To take on a very difficult task; to attempt the impossible.","To seize or snatch away by force; to take something coercively","HIGH","bagdhara","False"
"4775","থাবা দেওয়া","কেড়ে বা ছিনিয়ে নেওয়া; জবরদস্তি করে নেওয়া","To sink one's teeth into (possessively)","","आसमान सिर पर उठा लेना","To take on a very difficult task; to attempt the impossible.","To seize or snatch away by force; to take something coercively","HIGH","bagdhara","False"
"4776","থাবাথুবি দিয়ে রাখা","পিঠ চাপড়ে ভুলিয়ে রাখা","Throw a bone to', 'Placate with empty gestures","","होश ठिकाने लगाना","To make someone realize the error of their ways; to bring someone back to their senses.","To pacify or distract someone superficially by patting on the back","HIGH","bagdhara","False"
"4777","থাবড়ানো","চড়ের ওপর চড় মারা","add insult to injury', 'rub salt in the wound","","ईंट का जबाब पत्थर से देना","An eye for an eye; to retaliate with full force; to give a fitting reply.","to slap on top of a slap (to give additional or repeated punishment)","HIGH","bagdhara","False"
"4778","থিকথিক করা","পোকামাকড়ের প্রাচুর্যসূচক;বহু বস্তু/প্রাণীর বিরক্তিকর একত্র সন্নিবেশের ভাবসূচক","Swarming with', 'Crawling with', 'Teeming with","","नौ सौ चूहे खाके बिल्ली हज को चली","To display saintly behaviour after committing many sins; a hypocrite turning pious.","Indicating abundance of insects; suggestive of an annoying congregation of many objects or creatures","HIGH","bagdhara","False"
"4779","থিতা","মন্দীভূত হওয়া","fizzle out', 'peter out', 'lose steam","","लाल पीला होना","To get very angry; to lose one's temper.","To gradually diminish or lose vigor","HIGH","bagdhara","False"
"4780","থিতু হওয়া","এক জায়গায় স্থির হয়ে বসা","Sit still', 'Stay put', 'Settle down","","अंधेर नगरी चौपट राजा","A place or situation where there is total chaos and no justice.","To sit steadily in one place or settle down calmly","HIGH","bagdhara","False"
"4781","থির-থিরানি","মৃদুকম্পন, থিরথির করে কাঁপা","shiver in one's boots"", 'tremble with fear","","आँख चुराना","To hide out of shame; to avoid eye contact due to embarrassment or guilt.","mild trembling or shivering, often due to fear or cold","HIGH","bagdhara","False"
"4782","থুড়থুড়ে","বার্ধক্যজনিত কারণে কম্পনসূচক, অতিবৃদ্ধত্ববাচক","doddering', 'tottering with age', 'shaking like a leaf in old age","","अँगारे बरसना","To be scorching hot; extreme heat of the sun.","Indicating trembling due to old age, signifying extreme senescence or frailty","HIGH","bagdhara","False"
"4783","থুড়া","ক্রমাগত আঘাতে তিরস্কারে প্রহারে বা ভর্ৎসনায় জর্জরিত করা","give a thrashing', 'beat black and blue', 'beat the daylights out of","","आँख चुराना","To hide out of shame; to avoid eye contact due to embarrassment or guilt.","To wear out or debilitate someone through continuous physical blows, scoldings, beatings, or reprimands","HIGH","bagdhara","False"
"4784","থুতু ফেলা","ধিক্কার জানানো","to spit upon', 'to hold in contempt","","छाती पीटना","To wail or lament loudly; to express intense grief.","to express contempt or disdain","HIGH","bagdhara","False"
"4785","থুতু দিয়ে ছাতু গোলা","অসম্ভব কাজ করার চেষ্টা; কৃপণতা করা","Making a silk purse out of a sow's ear"", 'Penny wise and pound foolish","","आसमान सिर पर उठा लेना","To take on a very difficult task; to attempt the impossible.","Attempting an impossible task; being miserly or stingy","HIGH","bagdhara","False"
"4786","থুম মেরে যাওয়া","ভয়ে বা বিস্ময়ে অনড়, নির্বাক, নিশ্চল, বাক্যহীন হওয়া","Frozen in fear', 'Struck dumb', 'Dumbfounded', 'Paralyzed with shock","","दूध का दूध पानी का पानी हो जाना","The truth will surface; justice will be done and the facts will become clear.","To become motionless, speechless, immobile, and at a loss for words due to fear or astonishment","HIGH","bagdhara","False"
"4787","থেকে থেকে","কিছুকাল অন্তর, মধ্যে মধ্যে, মাঝে মাঝে","every now and then', 'off and on', 'from time to time","","चौड़े बेंकर सोना","To be free from all worries; to be completely carefree.","occasionally, from time to time, intermittently","HIGH","bagdhara","False"
"4788","থেবড়া মারা","মাটিতে চেপ্টে বসা","flop down', 'plop down in a heap', 'collapse in despair","","","","to sit flattened or dejectedly on the ground","HIGH","bagdhara","False"
"4789","থোঁতা মুখ","বড় ও ভারী মুখ","long face', 'pouty expression","","चेहरा उतरना","To face a disappointment; to become visibly sad or dejected.","a sullen or sulky face","HIGH","bagdhara","False"
"4790","থোঁতা মুখ ভোঁতা করা","উপযুক্ত শাস্তি দেওয়া; দর্পচূর্ণ করা; বড় মুখ ছোট করা","Put someone in their place', 'Take down a peg or two', ""Burst someone's bubble","","गुदड़ी का लाल","A person of great merit born in a humble family.","To give someone their due punishment; to crush arrogance; to humble a boastful person","HIGH","bagdhara","False"
"4791","থোকে থোকে","কিস্তিতে কিস্তিতে","bit by bit', 'in dribs and drabs', 'little by little","","","","in installments or bit by bit","HIGH","bagdhara","False"
"4792","থোড়","অতি সামান্য, প্রায় কিছুই না","a drop in the bucket', 'scraps', 'peanuts","","पहाड़ खोदकर चूहा निकालना","To pursue something with great expectations but achieve almost nothing.","Very little, almost nothing","HIGH","bagdhara","False"
"4793","থোড়কুচি করা","টুকরা টুকরা করা","tear to shreds', 'break into bits","","आसमान से गिरा खजूर में अटका","Out of one trouble and into another; from the frying pan into the fire.","to break into pieces","HIGH","bagdhara","False"
"4794","থোড়-বড়ি-খাড়া","বৈচিত্রহীন একঘেয়ে জীবন","Stuck in a rut', 'Same old, same old","","अपनी खिचड़ी अलग पकाना","To work in isolation; to do things in your own way without regard for others.","A monotonous life without variety","HIGH","bagdhara","False"
"4795","থোড়াই কেয়ার করা","একটুও না, মোটেই গ্রাহ্য না করা","I couldn't care less"", 'Not give a damn","","चौड़े बेंकर सोना","To be free from all worries; to be completely carefree.","Not at all, to completely disregard or not care in the slightest","HIGH","bagdhara","False"
"4796","দকে পড়া","ভীষণ বিপদে পড়া","In the jaws of death', 'Between a rock and a hard place', 'Up the creek without a paddle","","अँगारे बरसना","To be scorching hot; extreme heat of the sun.","To be in extreme danger or dire trouble","HIGH","bagdhara","False"
"4797","দক্ষযজ্ঞ","প্রলয়কাণ্ড, চূড়ান্ত হট্টগোল, লন্ডভন্ড কর্মকাণ্ডে বিপর্যস্ত অবস্থা","All hell broke loose', 'Pandemonium ensued', 'The world fell apart","","दिन में तारे दिखना","To be shocked or stunned; to experience extreme distress or bewilderment.","A cataclysmic event of utter chaos, extreme pandemonium, and a state of distress from destructive turmoil","HIGH","bagdhara","False"
"4798","দক্ষিণ নায়ক","একইসাথে বহু নায়িকার প্রতি অনুরক্ত","womanizer', 'playboy', ""ladies' man","","काठ की हाँडी बार-बार नहीं चढ़ती","You cannot deceive someone repeatedly with the same trick.","Infatuated with multiple heroines at the same time","HIGH","bagdhara","False"
"4799","দক্ষিণ রায়","সুন্দরবনের বাঘ","King of the jungle', 'Man-eater","","","","Tiger of the Sundarbans","HIGH","bagdhara","False"
"4800","দক্ষিণহস্ত","প্রধান সহায়, বড় অবলম্বন","right-hand man', 'mainstay","","अंधे की लकड़ी","The sole support or reliance of a helpless person.","Main helper, major support","HIGH","bagdhara","False"
"4801","দক্ষিণহস্তের কাজ","আহার, খাওয়াদাওয়া, ভোজন","Breaking bread', 'Having a bite to eat","","","","Eating, meals, dining","HIGH","bagdhara","False"
"4802","দক্ষিণা","সম্মাননীয় ব্যক্তির পারিশ্রমিক","guru's fee"", 'token of appreciation","","शैतान का नाम लिया, शैतान हाजिर","Speak of the devil; the person you were just talking about suddenly appears.","Honorarium or remuneration for a respected person","HIGH","bagdhara","False"
"4803","দক্ষিণাপথ","বিন্ধ্যপর্বতের দক্ষিণে অবস্থিত ভারতের দক্ষিণাংশ","Down South', 'The Deep South","","","","The southern part of India situated south of the Vindhya mountains","HIGH","bagdhara","False"
"4804","দক্ষিণার জোর","উৎকোচ জোর","full force', 'with might and main","","छाती पीटना","To wail or lament loudly; to express intense grief.","intense or superior force","HIGH","bagdhara","False"
"4805","দগদগে","জ্বালাময় এবং লালচে ক্ষত","festering wound', 'raw and inflamed sore","","","","A burning and reddish sore","HIGH","bagdhara","False"
"4806","দগ্ধপ্রাণ","বেদনার্ত; যন্ত্রণাগ্রস্ত, সন্তপ্ত","heartbroken', 'soul in torment","","एक तीर से दो निशाने लगाना","To kill two birds with one stone; to solve two problems with a single action.","distressed; tormented by pain, burning with agony","HIGH","bagdhara","False"
"4807","দগ্ধ কপাল","হতভাগ্য","born under a bad star', 'cursed with bad luck","","","","ill-fated; unlucky","HIGH","bagdhara","False"
"4808","দগ্ধপত্রন্যায়","পুড়ে গেলে পাতার অবয়ব একই থাকে কিন্তু পাতা বলে গ্রাহ্য হয় না","Not worth the paper it's written on"", 'A shadow of its former self","","अंधेर नगरी चौपट राजा","A place or situation where there is total chaos and no justice.","A situation where something retains its external form after damage but is no longer valid or acceptable","HIGH","bagdhara","False"
"4809","দগ্ধ প্রাণ","সন্তপ্ত চিত্ত","heart on fire', 'wounded soul","","","","agitated or tormented heart/mind","HIGH","bagdhara","False"
"4810","দড়কাঁচা","দেখতে পাকা কিন্তু ভিতরে শক্ত, আধপাকা আধকাঁচা","half-baked', 'all hat and no cattle', 'looks good on paper","","राख में दबा कोयला","A person who appears harmless but is dangerous inside.","Appears mature or ripe on the outside but is actually firm or raw inside; half-baked or immature","HIGH","bagdhara","False"
"4811","দড়িকলসি","আত্মহত্যার উপায়; ডুবে মরার সহায়ক","Couldn't hang oneself if one tried","","सीधी उँगली से घी न निकलना","Some tasks require force or cunning; you can't get things done by gentle means alone.","Means of suicide; aid for drowning to death","HIGH","bagdhara","False"
"4812","দড়িকলসি","আত্মহত্যার উপায়; ডুবে মরার সহায়ক","Down to one's last resort in misfortune","","सीधी उँगली से घी न निकलना","Some tasks require force or cunning; you can't get things done by gentle means alone.","Means of suicide; aid for drowning to death","HIGH","bagdhara","False"
"4813","দড়ি ছিঁড়ে পালানো","মায়ার বন্ধন কাটিয়ে চলে যাওয়া; মৃত্যু","cut and run', 'break free from ties","","","","Breaking the bonds of attachment and leaving; death","HIGH","bagdhara","False"
"4814","দড়িছেঁড়া গরু","বন্ধনমুক্ত","off the leash', 'footloose and fancy-free","","चौड़े बेंकर सोना","To be free from all worries; to be completely carefree.","free from bondage or unrestrained","HIGH","bagdhara","False"
"4815","দড়ি ছেঁড়া","হাতের বা শাসনের বাইরে গিয়েছে এমন; শাসন বহির্ভূত","Out of hand', 'Off the rails', 'Beyond control","","ऊँगली पर नचाना","To control someone completely; to have someone under one's total influence.","Something that has gone beyond one's control or authority; outside of governance","HIGH","bagdhara","False"
"4816","দড়িদড়ি","দড়ির মত কৃশ, সরু","Thin as a rail', 'Skin and bones', 'Beanpole","","मुँह न लगना","To not feel like eating; to have no appetite.","Thin and slender like a rope","HIGH","bagdhara","False"
"4817","দণ্ডপাণি","যম, শাসনকর্তা","the Grim Reaper', 'the long arm of the law","","सिक्का जमाना","To make an immediate and lasting impact; to establish authority or credibility.","Yam (the god of death), an authority figure or punisher","HIGH","bagdhara","False"
"4818","দণ্ডপূপন্যায়","কোন দুঃসাধ্য কাজের সিদ্ধি দেখে সুসাধ্য কাজের সিদ্ধির তৃপ্তবোধ","fool's paradise"", 'jumping to conclusions","","खाला जी का बाड़ा","An easy task or situation that requires no effort.","Satisfaction from the presumed success of an easy task upon observing the outcome of a difficult one, often based on a misconception","HIGH","bagdhara","False"
"4819","দণ্ডপ্রণাম","সাষ্টাঙ্গ প্রণাম","fall at one's feet"", 'bow down in reverence","","मन मोटा करना","To become callous or insensitive; to harden oneself to others' suffering.","To prostrate oneself fully in deep respect or submission","HIGH","bagdhara","False"
"4820","দণ্ডমুণ্ডের কর্তা","সকল প্রকার শাস্তিদানের অধিকারী; যিনি রাখলে রাখতে পারেন মারলে মারতে পারেন; উপরওয়ালা, বিচারপতি বা শাসক","Judge and jury', 'Lord high executioner","","किताबी कीड़ा","Someone who studies all the time; a bookworm engrossed in academic pursuits.","The authority empowered to impose all kinds of punishments; one who can spare life or take it at will; a superior, judge, or ruler","HIGH","bagdhara","False"
"4821","দণ্ডে দণ্ডে","ক্ষণে ক্ষণে, প্রতি মুহূর্তে","every now and then', 'from time to time', 'moment by moment","","चौड़े बेंकर सोना","To be free from all worries; to be completely carefree.","every moment, from time to time","HIGH","bagdhara","False"
