id,idiom_bn,literal_meaning,figurative_meaning_bn,figurative_meaning_en,similar_in_english,similar_in_english_str,example_sentences_bn,source
7660,বিড়াল ডাকা,বিড়ালকে ডাকা (cat calling),বিদ্রুপাত্মক ধ্বনি দেওয়া; তুলনীয়- আওয়াজ দেওয়া,To make a mocking or derisive sound; comparable to jeering or catcalling,"['catcall', 'boo']",catcall; boo,"['সভায় বক্তার কথায় অসন্তুষ্ট হয়ে কয়েকজন বিড়াল ডাকা শুরু করল।', 'পিছন থেকে বিড়াল ডাকা করে তাকে বিদ্রুপ করল।']",bagdhara
7661,বিড়ালতপস্বী,বিড়াল যে তপস্যা করে (cat ascetic),"বিদ্রুপে- কপট/ভেকধারী ব্যক্তি, ভণ্ড/মেকী ধার্মিক, সাধুর ছদ্মবেশে শয়তান; অসৎ কর্মে রত ব্যক্তি নীতিকথা শোনায় এমন","Sarcastically - a hypocritical or deceitful person, a fake or pretentious religious figure, a devil disguised as a saint; a person engaged in immoral acts who preaches moral lessons","[""wolf in sheep's clothing"", 'holier-than-thou', 'sanctimonious hypocrite']",wolf in sheep's clothing; holier-than-thou; sanctimonious hypocrite,"['সে একটা বিড়ালতপস্বী, বাইরে ধার্মিকতার ভান করে কিন্তু গোপনে অনেক অসৎ কাজ করে।', 'রাজনীতিতে এমন বিড়ালতপস্বী লোকের অভাব নেই, যারা জনকল্যাণের কথা বলে নিজের স্বার্থ নিয়ে থাকে।']",bagdhara
7662,বিড়াল থলির বাইরে,বিড়াল থলির বাইরে (cat out of the bag),গোপন তথ্য ফাঁস,Reveal a secret,['Let the cat out of the bag'],Let the cat out of the bag,"['সে অঙ্কিত পরীক্ষার খবর বিড়াল থলির বাইরে করে দিয়েছে।', 'বন্ধুরা সারপ্রাইজ পার্টির বিষয়ে বিড়াল থলির বাইরে করতে চায় না।']",bagdhara
7663,বিড়াল বৈরাগ্য,বিড়ালের বৈরাগ্য (cat's renunciation),ক্ষণস্থায়ী বাসনা,temporary or fleeting desire,"['flash in the pan', 'sour grapes']",flash in the pan; sour grapes,"[""তার ধূমপান ছাড়ার প্রতিজ্ঞা তো বিড়াল বৈরাগ্য, মাত্র দু'দিন পর আবার শুরু করে দিয়েছে।"", 'এই বৈরাগ্য বিড়াল বৈরাগ্যের মতো, ক্ষণিকের জন্য।']",bagdhara
7664,বিড়াল লাড়ালাড়ি,বিড়ালের লাড়ালাড়ি বা সরিয়ে-সরিয়ে বাচ্চাদের গোপন করার কাজ,বিড়াল যেমন নানাস্থানে সরিয়ে বাচ্চাদের গোপন করে রাখে সেইরকম একাধিকবার স্থানান্তরকরণ,"Frequent relocation or shifting around to hide or protect something, similar to how a cat moves its kittens to secret places","['Shell game (shuffling to confuse)', 'Moving the goalposts (evasive changes)']",Shell game (shuffling to confuse); Moving the goalposts (evasive changes),"['সে তার পরিকল্পনা গোপন রাখতে বিড়াল লাড়ালাড়ি করছে।', 'পুলিশের চোখ এড়াতে তারা বিড়াল লাড়ালাড়ি করে বাড়ি বদলাচ্ছে।']",bagdhara
7665,বিড়ালাক্ষি,বিড়ালের মতো চোখ,কটা চোখের স্ত্রীলোক,A woman with cat-like eyes,"['Cat-eyed beauty', 'Feline gaze']",Cat-eyed beauty; Feline gaze,"['সে একজন বিড়ালাক্ষি সুন্দরী।', 'তার বিড়ালাক্ষি চাহনিতে সবাই মুগ্ধ হয়ে যায়।']",bagdhara
7666,বিড়ালের আড়াই পা,বিড়ালের দুই ও অর্ধেক পা (cat's two and a half steps),"ক্ষণকালের মধ্যে রাগ/প্রতিজ্ঞা/মান-অপমানবোধ বিস্মরণ, বেহায়াপনা; স্বভাব দোষ","Forgetting anger, vows, or feelings of insult in a very short time; shamelessness; inherent character flaw","['short memory for grudges', 'quick to forgive and forget']",short memory for grudges; quick to forgive and forget,"['সে বিড়ালের আড়াই পা মতো রাগ ভুলে গিয়ে আবার বন্ধুর সাথে মিলিত হলো।', 'তার স্বভাবে বিড়ালের আড়াই পা আছে, কখনো কোনো অভিযোগ মনে রাখে না।']",bagdhara
7667,বিড়ালের গলায় ঘণ্টা বাঁধা,বিড়ালের গলায় ঘণ্টা বাঁধা,কোনো প্রয়োজনীয় কিন্তু বিপজ্জনক কাজের ঝুঁকি নেওয়া,Taking the risk of performing a necessary but dangerous task,['Bell the cat'],Bell the cat,"['সেই চোর ধরতে হলে বিড়ালের গলায় ঘণ্টা বাঁধার মতো সাহস লাগবে।', 'কোম্পানির অভিযোগ তুলতে বিড়ালের গলায় ঘণ্টা বাঁধা যেন হয়েছে।']",bagdhara
7668,বিড়ালের গলায় তুলসীমালা,বিড়ালের গলায় তুলসীর মালা,বিড়ালতপস্বী,A cat pretending to be an ascetic (hypocritical piety),"[""Wolf in sheep's clothing"", 'Holier-than-thou']",Wolf in sheep's clothing; Holier-than-thou,"['সে ধর্মভীরু ভান করে, কিন্তু আসলে বিড়ালের গলায় তুলসীমালা।', 'রাজনীতিতে এমন অনেকে আছে যারা বিড়ালের গলায় তুলসীমালা পরে থাকে।']",bagdhara
7669,বিড়ালের পেচ্ছাবে আছাড় খাওয়া,বিড়ালের প্রস্রাবে পড়ে আছাড় খাওয়া,বিশ্রিভাবে বিপদগ্রস্ত হওয়া,To be caught in a humiliating or wretched misfortune,"[""To fall flat on one's face"", 'To be up shit creek']",To fall flat on one's face; To be up shit creek,"['সে ব্যবসায়ে বিড়ালের পেচ্ছাবে আছাড় খেয়েছে, এখন সবাই তাকে হাসাহাসি করছে।', 'জীবনে এমন বিপদে পড়লে মনে হয় বিড়ালের পেচ্ছাবে আছাড় খেয়েছি।']",bagdhara
7670,বিড়ালের ভাগ্যে শিকে ছেঁড়া,বিড়ালের ভাগ্যে ছেঁড়া শিক (a torn fishing net in the cat's fortune),বিনাপ্রচেষ্টায় ভাগ্যক্রমে ঈপ্সিত সুযোগ মেলা,To obtain a desired opportunity by sheer luck without any effort,"[""It fell into one's lap"", 'Even a blind squirrel finds a nut sometimes']",It fell into one's lap; Even a blind squirrel finds a nut sometimes,"['তার বিড়ালের ভাগ্যে শিকে ছেঁড়া পড়ল যখন সে অকস্মাৎ প্রমোশন পেল।', 'এই সুযোগটি বিড়ালের ভাগ্যে শিকে ছেঁড়ার মতো এসেছে, এটাকে হাতছাড়া করো না।']",bagdhara
7671,বিতিকিচ্ছিরি,বিকৃত এবং অস্বাভাবিক আকারের অনুকরণমূলক শব্দ (onomatopoeic expression for twisted awkwardness),"অস্বস্তিকর, উৎকট আকারবিশিষ্ট, কিম্ভূতকিমাকার, বিশ্রী","Uncomfortable, awkwardly shaped, bizarre, ugly","['grotesque', 'ugly as sin', 'a monstrosity']",grotesque; ugly as sin; a monstrosity,"['ওই পুরনো বাড়িটা দেখে বিতিকিচ্ছিরি লাগল।', 'তার চেহারাটা একটু বিতিকিচ্ছিরি।']",bagdhara
7672,বিদুরের ক্ষুদ,বিদুরের ক্ষুদ্র বা সামান্য শাকসবজি,গরীবের ডাল-ভাত; গরীবের সামান্য উপহার,Poor man's dal-rice; a meager gift from the poor,"['humble offering', ""peasant's meal""]",humble offering; peasant's meal,"['তিনি বিদুরের ক্ষুদ দিয়ে অতিথিদের স্বাগত জানালেন।', 'এই উপহারটি বিদুরের ক্ষুদের মতো সাধারণ কিন্তু হৃদয়স্পর্শী।']",bagdhara
7673,বিদুরের ক্ষুদকুঁড়া,বিদুরের তৈরি ক্ষুদ্র কুঁড়া বা শাকের খিচুড়ি,অশ্রদ্ধাপ্রদত্ত শ্রেষ্ঠ আহার থেকে শ্রদ্ধামিশ্রিত প্রদত্ত নিকৃষ্ট আহার বেশি উপাদেয়,Inferior food offered with devotion is more preferable than superior food offered without respect,"[""It's the thought that counts"", 'A meal with love is better than a feast without']",It's the thought that counts; A meal with love is better than a feast without,"['তিনি বললেন, বিদুরের ক্ষুদকুঁড়া খেয়ে সন্তুষ্ট হব, কারণ এতে ভালোবাসা আছে।', 'অশ্রদ্ধায় দেওয়া মহানন্দ থেকে শ্রদ্ধায় দেওয়া সাধারণ খাবারই বিদুরের ক্ষুদকুঁড়া।']",bagdhara
7674,বিদ্যাদিগ্‌গজ,"বিদ্যা (জ্ঞান) এবং দিগ্‌গজ (দিকপালক হাতি, পৌরাণিক মহাভূত যা বিশ্বকে ধারণ করে)",বিদ্রুপে আকাট বা মহামূর্খ,"sarcastically, utterly foolish or great fool","['know-it-all fool', 'pedantic idiot']",know-it-all fool; pedantic idiot,"['সে বিদ্যাদিগ্\u200cগজের মতো, বইয়ের জ্ঞানে ভরা কিন্তু বাস্তবে একদম অজ্ঞ।', 'এই বিদ্যাদিগ্\u200cগজ লোকটি সবাইকে হাসাচ্ছে তার মূর্খতায়।']",bagdhara
7675,বিদ্যা ফলানো,বিদ্যাকে ফলানো (knowledge bearing fruit),বিদ্যা জাহির করা,to flaunt or show off one's knowledge,"[""to show off one's knowledge"", ""to parade one's learning""]",to show off one's knowledge; to parade one's learning,"['সভায় সে অযথা বিদ্যা ফলালো।', 'পড়াশোনার সময় বিদ্যা ফলানো উচিত নয়।']",bagdhara
7676,বিদ্যাবণিক,বিদ্যার বণিক (জ্ঞান বা শিক্ষার ব্যবসায়ী),বেতনভোগী অধ্যাপক,Salaried teacher,"['Knowledge peddler', 'Paid tutor']",Knowledge peddler; Paid tutor,"['সে একজন বিদ্যাবণিক, শুধুমাত্র বেতনের জন্য পড়ায়।', 'স্কুলের বিদ্যাবণিকরা প্রায়ই অতিরিক্ত ক্লাস নেয়।']",bagdhara
7677,বিদ্যায় বৃহস্পতি,"বিদ্যায় বৃহস্পতি (knowledge in Brihaspati, where Brihaspati is the divine guru)",বিদ্রুপে অল্পজ্ঞানী,Sarcastically referring to someone with superficial or little knowledge,"['A little knowledge is a dangerous thing', ""Wise in one's own conceit""]",A little knowledge is a dangerous thing; Wise in one's own conceit,"['সে বিদ্যায় বৃহস্পতি বলে মনে করে, কিন্তু আসলে তার জ্ঞান অতি সামান্য।', 'এই বিষয়ে তার বিদ্যায় বৃহস্পতি হয়ে গেছে, তাই কথা শোনা উচিত নয়।']",bagdhara
7678,বিদ্যার জাহাজ,জ্ঞান বা বিদ্যার জাহাজ,প্রশংসায় অতিশয় পণ্ডিত; বিদ্রুপে মহামূর্খ,In praise: extremely learned or knowledgeable; in sarcasm: great fool,"['walking encyclopedia (positive)', 'know-it-all (sarcastic)']",walking encyclopedia (positive); know-it-all (sarcastic),"['সে বিদ্যার জাহাজ, সব প্রশ্নের উত্তর দিতে পারে।', 'বিদ্যার জাহাজ হয়ে এমন সাধারণ ভুল করবে কী করে!']",bagdhara
7679,বিদ্যাশূন্য বিদ্যাসুন্দর ভট্টাচার্য,বিদ্যা (জ্ঞান) শূন্য (শূন্য/অভাব) / বিদ্যা (জ্ঞান) সুন্দর (সুন্দর) ভট্টাচার্য (ব্রাহ্মণ উপাধি),বিদ্রুপে অশিক্ষিত ব্রাহ্মণ,"sarcastically, an uneducated Brahmin","['a scholar in name only', 'all hat and no cattle']",a scholar in name only; all hat and no cattle,"['সে বিদ্যাশূন্য বিদ্যাসুন্দর ভট্টাচার্যের মতো, নামে পণ্ডিত কিন্তু কিছুই জানে না।', 'গ্রামের মন্দিরে এমন এক বিদ্যাশূন্য বিদ্যাসুন্দর ভট্টাচার্য ছিল, যে পূজা করতে গিয়ে ভুল করত।']",bagdhara
7680,বিদ্যুৎগতি,বিদ্যুতের গতি (lightning or electricity speed),অতি দ্রুতগতি,Extremely fast speed,"['Lightning fast', 'At the speed of light', 'Like a bolt from the blue']",Lightning fast; At the speed of light; Like a bolt from the blue,"['সে বিদ্যুৎগতিতে কাজ সারল।', 'গাড়িটা বিদ্যুৎগতিতে ছুটে গেল।']",bagdhara
7681,বিধবার একাদশী,বিধবার একাদশী (widow's Ekadashi fasting day),"যে কাজ করলে প্রশংসা নেই, না করলে নিন্দা আছে","A task that receives no praise if done, but invites criticism if not done","[""Damned if you do, damned if you don't""]","Damned if you do, damned if you don't","['এই দায়িত্বটি বিধবার একাদশীর মতো, করলে কোনো প্রশংসা নেই, না করলে সবাই তিরস্কার করে।', 'স্কুলের এই অতিরিক্ত কাজ বিধবার একাদশী, শিক্ষকরা করলেও ধন্যবাদ পান না, না করলে অভিযোগের ঝড় ওঠে।']",bagdhara
7682,বিধি,ভাগ্য বা নিয়তি,সৃষ্টিকর্তা ব্রহ্ম,The Creator Brahma,"['Providence', 'The Almighty Creator']",Providence; The Almighty Creator,"['সবকিছু বিধির হাতে।', 'বিধির ইচ্ছায় এই সৃষ্টি হয়েছে।']",bagdhara
7684,বিধিনিষেধ,বিধি (নিয়ম বা আইন) + নিষেধ (নিষেধাজ্ঞা বা প্রতিবন্ধকতা),নিয়মকানুন; নিয়মের শৃঙ্খল,Rules and regulations; discipline of rules,"[""dos and don'ts"", 'rules and regulations']",dos and don'ts; rules and regulations,"['স্কুলে বিধিনিষেধ মেনে চলতে হয়।', 'অফিসে এই বিধিনিষেধগুলো কঠোরভাবে পালন করা হয়।']",bagdhara
7685,বিধি প্রসন্ন,ভাগ্য বা বিধাতা তুষ্ট,ভাগ্যদেবতা তুষ্ট,The goddess of fortune is pleased,"['Lady Luck is smiling', 'Fortune favors the bold']",Lady Luck is smiling; Fortune favors the bold,"['আজ বিধি প্রসন্ন, তাই আমার পরীক্ষায় ভালো ফল হয়েছে।', 'বিধি প্রসন্ন হলে সব অসম্ভব সম্ভব হয়ে ওঠে।']",bagdhara
7686,বিধিবদ্ধ,বিধি (নিয়ম বা শাস্ত্র) দ্বারা বদ্ধ (স্থাপিত বা নির্ধারিত),শাস্ত্রদ্বারা নির্মিত; ব্যবস্থাপিত,Established by scriptures; regulated or systematized,"['by the book', 'according to canon']",by the book; according to canon,"['এই অনুষ্ঠানটি বিধিবদ্ধভাবে সম্পন্ন হয়েছে।', 'বিধিবদ্ধ নিয়মাবলী অনুসরণ করে কাজ করুন।']",bagdhara
7687,বিধি বাম,বিধি (divine will or fate) বাম (left or unfavorable),বিধাতা অপ্রসন্ন,The creator is displeased,"['The gods are against us', 'Fate is unkind']",The gods are against us; Fate is unkind,"['আজকের দুর্ঘটনায় বিধি বাম হয়েছে বলে মনে হচ্ছে।', 'পরীক্ষায় ফেল করার পর সে বলল, বিধি বাম।']",bagdhara
7688,বিধির বিড়ম্বনা,ভাগ্য বা বিধাতার উপহাস বা ছলনা,ভাগ্যের ছলনা,The trickery or mockery of fate,"['Twist of fate', 'Cruel joke of destiny']",Twist of fate; Cruel joke of destiny,"['জীবনের এই অপ্রত্যাশিত ঘটনা বিধির বিড়ম্বনা।', 'তার সাফল্যের পর এই ব্যর্থতা বিধির বিড়ম্বনা।']",bagdhara
7689,বিধিলিপি,ভাগ্যের লিখিত নির্দেশনা,ভাগ্যের লিখন,The script of destiny,"['Written in the stars', ""Fate's decree""]",Written in the stars; Fate's decree,"['এই বিবাহটি বিধিলিপি, কেউ এটাকে বাধা দিতে পারবে না।', 'তার মৃত্যু বিধিলিপি ছিল, চিকিৎসা সত্ত্বেও টলেনি।']",bagdhara
7690,বিধির বিপাক,ভাগ্যের দুর্ঘটনা বা বিধাতার বিপর্যয়,দৈবদুর্ঘটনা,an unforeseen calamity caused by fate or divine will,"['act of God', 'stroke of misfortune', 'freak accident']",act of God; stroke of misfortune; freak accident,"['আকস্মিক বিধির বিপাকে তার সব সম্পত্তি নষ্ট হয়ে গেল।', 'বিধির বিপাকে সে পরিবারের একমাত্র উপার্জনকারী হয়ে উঠল।']",bagdhara
7691,বিধুমুখী,চন্দ্রের মতো মুখবিশিষ্ট,সুন্দরী,a beautiful woman,['moon-faced beauty'],moon-faced beauty,"['সে এক বিধুমুখী যুবতী।', 'কবিতায় বিধুমুখী রূপের বর্ণনা প্রায়ই পাওয়া যায়।']",bagdhara
7692,বিনা বাক্যব্যয়ে,বাক্যের ব্যয় ছাড়া (without expenditure of words),কোনো কথা না বলে,Without saying a word,"['Without a word', 'In silence']",Without a word; In silence,"['সে বিনা বাক্যব্যয়ে ঘর থেকে বেরিয়ে গেল।', 'গুরুর নির্দেশ বিনা বাক্যব্যয়ে মেনে নেওয়া উচিত।']",bagdhara
7693,বিনামেঘে বজ্রপাত,বিনা মেঘে বজ্রপাত (lightning strike without clouds),আকস্মিক বিপদ বা দুঃসংবাদ,Sudden calamity or misfortune,['Bolt from the blue'],Bolt from the blue,"['তার জীবনে হঠাৎ বিনামেঘে বজ্রপাতের মতো বিপদ এলো।', 'সংবাদটি বিনামেঘে বজ্রপাতের ন্যায় অপ্রত্যাশিত ছিল।']",bagdhara
7694,বিনামেঘে বর্ষণ,মেঘ ছাড়াই বৃষ্টিপাত,অপ্রত্যাশিত লাভ,Unexpected gain,"['Bolt from the blue', 'Windfall', 'Manna from heaven']",Bolt from the blue; Windfall; Manna from heaven,"['তার জীবনে হঠাৎ বিনামেঘে বর্ষণ হলো যখন সে লটারিতে জিতল।', 'ব্যবসায়ে বিনামেঘে বর্ষণের মতো অপ্রত্যাশিত লাভ পেয়ে সে খুশি হলো।']",bagdhara
7695,বিনাশকালে বুদ্ধিনাশ,বিনাশের সময়ে বুদ্ধির নাশ,বৃদ্ধবয়সে হতবুদ্ধি,Loss of intellect in old age,"[""There's no fool like an old fool""]",There's no fool like an old fool,"['তার বয়স বাড়ার সাথে সাথে বিনাশকালে বুদ্ধিনাশ হয়ে গেছে, এখন কোনো সিদ্ধান্তই নিতে পারে না।', 'বৃদ্ধাবস্থায় অনেকেই বিনাশকালে বুদ্ধিনাশের শিকার হয়ে পড়েন।']",bagdhara
7696,বিনাশকালে হরিনাম,বিনাশের সময়ে হরির নাম (chanting the name of Hari at the time of destruction),অসময়ে ঈশ্বরের দয়ার উপর নির্ভরতা; বিপদে পড়লে সাহায্যের জন্য আকুতি,Dependence on God's mercy in untimely or desperate situations; a plea for divine help when in peril,"['Any port in a storm', 'Praying in the eleventh hour']",Any port in a storm; Praying in the eleventh hour,"['বিপদের মুহূর্তে সে বিনাশকালে হরিনাম করতে লাগল।', 'জীবনের সংকটে অনেকেই বিনাশকালে হরিনামের আশ্রয় নেয়।']",bagdhara
7697,বিন্দুবিসর্গ,বিন্দু এবং বিসর্গ (দুটি অতি ক্ষুদ্র বিরামচিহ্ন),"অতি সামান্যপরিমাণ আভাস; কিছুমাত্র, সামান্যতম পরিমাণ","The slightest hint or amount; not at all, the tiniest quantity","['not one iota', 'not a jot', 'not a whit']",not one iota; not a jot; not a whit,"['আমি এই ব্যাপারে বিন্দুবিসর্গ জানি না।', 'তার কথায় বিন্দুবিসর্গ সত্যতা নেই।']",bagdhara
7698,বিন্দুতে সিন্ধুজ্ঞান,বিন্দুতে সিন্ধুর জ্ঞান (a drop's knowledge of the ocean),সামান্যকে বিশাল বলে কল্পনা,Imagining something trivial as vast or significant,"['Making a mountain out of a molehill', 'Much ado about nothing']",Making a mountain out of a molehill; Much ado about nothing,"['সে ছোট্ট একটা সমস্যাকে বিন্দুতে সিন্ধুজ্ঞান করে তুলল।', 'এই ঘটনাটা বিন্দুতে সিন্ধুজ্ঞান না করে সামাল দাও।']",bagdhara
7699,বিন্দেদূতী,বিন্দুর দূতী (বিন্দু নামক ব্যক্তির দূত বা প্রেরক),"গুপ্তপ্রেমের দূতী, যে লুকিয়ে চিঠি চালাচালি করে",A messenger in secret love who secretly exchanges letters or messages,"['go-between in romance', ""Cupid's intermediary""]",go-between in romance; Cupid's intermediary,"['তারা বিন্দেদূতীর মতো লুকিয়ে চিঠি পাঠাচ্ছিল।', 'প্রেমিক-প্রেমিকার মধ্যে বিন্দেদূতী হিসেবে কাজ করা সহজ নয়।']",bagdhara
7700,বিপদআপদ,বিপদ (danger/misfortune) এবং আপদ (calamity/disaster),"ঝুট-ঝঞ্ঝাট/ঝামেলা, দুঃখ দুর্দশা, বাধাবিপত্তি","troubles and turmoils, sorrow and misery, obstacles and adversities","['trials and tribulations', 'ups and downs', 'hard times']",trials and tribulations; ups and downs; hard times,"['তার জীবনে বিপদআপদের মতো অনেক কষ্ট এসেছে।', 'বন্ধুরা বিপদআপদে পাশে থাকলে সবকিছু সহজ হয়।']",bagdhara
7701,বিপদকালে বুদ্ধিনাশ,বিপদের সময়ে বুদ্ধির ধ্বংস,সঙ্কটে দিশেহারা,Bewildered or losing one's wits in times of crisis,"[""Lose one's head in a crisis"", 'Panic under pressure']",Lose one's head in a crisis; Panic under pressure,"['বিপদকালে বুদ্ধিনাশ হয়ে গেল, তাই সঠিক সিদ্ধান্ত নিতে পারল না।', 'যুদ্ধের সময় অনেকেই বিপদকালে বুদ্ধিনাশ করে ভুল করে ফেলে।']",bagdhara
7702,বিপদকালে হরিনাম,বিপদের সময় হরির নাম (chanting the name of Hari/God during times of danger),সঙ্কটে ঈশ্বরের দয়ার উপর নির্ভরশীলতা,Dependence on God's mercy in times of crisis,"['Turning to God in times of trouble', 'Praying for divine help in adversity']",Turning to God in times of trouble; Praying for divine help in adversity,"['বিপদকালে হরিনামের উপর ভরসা করে সে শান্ত হয়ে বসল।', 'জীবনে যখন সব পথ বন্ধ হয়ে যায়, তখন বিপদকালে হরিনামই একমাত্র আশ্রয়।']",bagdhara
7703,বিবিয়ানা,ইউরোপীয় নারীর অনুকরণ,ইউরোপীয় নারীর অনুকরণে বিলাসিতা,Ostentatious luxury imitating European women's style,"['putting on airs', 'aping the elite']",putting on airs; aping the elite,"['তারা বিবিয়ানা করে ঘর সাজিয়েছে, কিন্তু আসলেই কোনো স্বাদ নেই।', 'এই বিবিয়ানা দেখে মনে হয় তারা ইউরোপীয় হয়ে গেছে।']",bagdhara
7704,বিবিজান,"প্রিয় স্ত্রী বা বিবি (বিবি + জান, যেখানে বিবি অর্থ স্ত্রী এবং জান অর্থ প্রাণ বা প্রিয়জন)",প্রেয়সী নারী; বধুর প্রতি প্রিয় সম্ভাষণ,Beloved woman; affectionate term of address for one's wife or bride,"['darling', 'sweetheart', 'my love']",darling; sweetheart; my love,"['বিবিজান, আজ সন্ধ্যায় কোথায় যাবে?', 'তার বিবিজানকে দেখে সবাই মুগ্ধ হয়ে যায়।']",bagdhara
7705,বিভীষণ,"বিভীষণ (রামায়ণের চরিত্রের নাম, যার অর্থ 'ভয়ঙ্কর')",অতিশয় ভয়ঙ্কর,Extremely terrifying,"['scary as hell', 'a real monster']",scary as hell; a real monster,"['সেই জঙ্গলের রাত্রি বিভীষণের মতো ভয়ঙ্কর ছিল।', 'ওই লোকটি এক বিভীষণ, তার কাছে যেও না।']",bagdhara
7707,বিমাতৃসুলভ,বিমাতৃ (stepmother) + সুলভ (favorable/easy),উপেক্ষাযুক্ত,Neglectful or indifferent,"['stepmotherly treatment', 'cold indifference']",stepmotherly treatment; cold indifference,"['সরকারের বিমাতৃসুলভ আচরণ গ্রামবাসীদের কষ্ট দিচ্ছে।', 'তার বাবার দ্বিতীয় স্ত্রীর বিমাতৃসুলভ ব্যবহার শিশুটিকে একাকী করে তুলেছে।']",bagdhara
7708,বিমুখ,মুখ ফিরিয়ে নেওয়া (face turned away),অপ্রসন্ন,displeased or unfavorable,"['the gods are against you', 'fall out of favor']",the gods are against you; fall out of favor,"['দেবতা তার প্রতি বিমুখ হয়েছেন বলে মনে হচ্ছে।', 'এই কাজের পর সবাই তার প্রতি বিমুখ হয়ে গেছে।']",bagdhara
7709,ভাগ্য বিমুখ,ভাগ্য (fate) বিমুখ (turned away or averse),প্রতিকূল,Unfavorable or adverse (especially regarding fate),"['Fortune turns its back', 'Lady Luck deserts one']",Fortune turns its back; Lady Luck deserts one,"['তার জীবনে ভাগ্য বিমুখ হয়েছে, কোনো কাজই সফল হচ্ছে না।', 'পরীক্ষায় ফেল করার পর সে ভাবল, ভাগ্য বিমুখই হয়েছে।']",bagdhara
7710,বিয়ে-পাগলা,বিয়ের জন্য পাগল (marriage-mad),বিয়ে করার জন্য ব্যাকুল,Eager or desperate to get married,"['marriage-crazy', 'dying to tie the knot']",marriage-crazy; dying to tie the knot,"['সে বিয়ে-পাগলা হয়ে গেছে, সবসময় বিয়ের কথা বলে।', 'গ্রামের মেয়েটি বিয়ে-পাগলা, বয়স হয়ে গেলেও স্বামী খুঁজছে।']",bagdhara
7711,বিয়ে-শাদি,বিয়ে (হিন্দু বিবাহ) এবং শাদি (মুসলিম বিবাহ) – বিবাহের দুটি সমার্থক শব্দের যুগ্ম,একার্থক যুগ্মশব্দ,synonymous compound word referring to marriage in general,"['tying the knot', 'getting hitched']",tying the knot; getting hitched,"['ছেলে ঠিক করেছে বিয়ে-শাদি করবে না।', 'এখন তো সবাই বিয়ে-শাদির চিন্তা করছে।']",bagdhara
7712,বিয়ের আগে বাজনা,বিয়ের আগে বাজনা বাজানো,কারণের আগে কাজ,Action before the cause,"['Putting the cart before the horse', 'Jumping the gun']",Putting the cart before the horse; Jumping the gun,"['সে বিয়ের আগে বাজনা বাজিয়ে ফেলল, অর্থাৎ পরিকল্পনা না করে কাজ শুরু করল।', 'প্রকল্পের বাজেট ছাড়াই কেনাকাটা করা বিয়ের আগে বাজনা বাজানোর মতো।']",bagdhara
7713,বিয়ের ফুল ফোটা,বিয়ের ফুল ফুটে ওঠা,বিয়ে আসন্ন,Marriage is imminent,['Wedding bells are ringing'],Wedding bells are ringing,"['তার বিয়ের ফুল ফুটেছে, শীঘ্রই বিয়ের খবর আসবে।', 'বাড়িতে ছেলের বিয়ের ফুল ফোটার লক্ষণ দেখা যাচ্ছে।']",bagdhara
7714,বিরাট সুড়ঙ্গের শেষে আলো দেখতে পাওয়া,বিরাট সুড়ঙ্গের শেষ প্রান্তে আলোর দৃশ্য লাভ করা,বিপদমুক্ত হওয়ায় গভীর স্বস্তির নিশ্বাস ফেলা,Heaving a deep sigh of relief upon escaping danger,"['Light at the end of the tunnel', 'Seeing the light at the end of the tunnel']",Light at the end of the tunnel; Seeing the light at the end of the tunnel,"['দীর্ঘ অর্থনৈতিক সংকটের পর চাকরিটা পেয়ে তিনি বিরাট সুড়ঙ্গের শেষে আলো দেখতে পেলেন।', 'পরীক্ষার ফলাফল ভালো এসে ছাত্রটি বিপদ থেকে মুক্তি পেয়ে বিরাট সুড়ঙ্গের শেষে আলো দেখল।']",bagdhara
7715,বিরাশী সিক্কার ওজন,আশি সিক্কার ওজন (ইস্ট ইন্ডিয়া কোম্পানীর মুদ্রা),"খুব দমদার, পাকা ওজন; বিপুল ভার, ভারী ওজন/শক্তি","Very powerful and solid weight; immense burden, heavy weight or influence","['Carries a lot of weight', 'Heavyweight']",Carries a lot of weight; Heavyweight,"['তার সিদ্ধান্তের বিরাশী সিক্কার ওজন আছে, কেউ তা অস্বীকার করতে পারে না।', 'এই চুক্তির বিরাশী সিক্কার ওজন রয়েছে, এটি আমাদের ভবিষ্যতকে প্রভাবিত করবে।']",bagdhara
7716,বিরাশি সিক্কা ওজনের চড়,আটাশি সিক্কার ওজনের চড়,প্রচণ্ডতম চপেটাঘাত,The most severe or tremendous blow,"['a resounding slap', 'hit like a ton of bricks']",a resounding slap; hit like a ton of bricks,"['সে তার শত্রুকে বিরাশি সিক্কা ওজনের চড় মেরে ফেলল।', 'এই খবরটা তার উপর বিরাশি সিক্কা ওজনের চড়ের মতো আঘাত করল।']",bagdhara
7717,বিলকুল,সম্পূর্ণভাবে বা পুরোপুরি,সম্পূর্ণ,completely,"['absolutely', 'totally', 'entirely']",absolutely; totally; entirely,"['ঘরটি বিলকুল পরিষ্কার।', 'সে বিলকুল সত্যি বলছে।']",bagdhara
